t,p1,p2,v1,a1,v2,a2,
18.8,0.252,0.264,-0.009,0.032,-0.017,-0.023,
18.85,0.251,0.263,-0.007,0.044,-0.018,0.001,
18.9,0.251,0.262,-0.004,0.036,-0.017,0.027,
18.95,0.251,0.262,-0.003,0.035,-0.014,0.037,
19.0,0.251,0.261,-0.001,0.041,-0.012,0.034,
19.05,0.251,0.261,0.001,0.04,-0.011,0.028,
19.1,0.251,0.26,0.003,0.046,-0.01,0.031,
19.15,0.251,0.259,0.006,0.048,-0.008,0.041,
19.2,0.252,0.259,0.008,0.041,-0.005,0.043,
19.25,0.252,0.259,0.01,0.042,-0.003,0.033,
19.3,0.253,0.259,0.013,0.038,-0.003,0.033,
19.35,0.253,0.259,0.014,0.025,-0.001,0.05,
19.4,0.254,0.259,0.015,0.01,0.003,0.057,
19.45,0.255,0.259,0.016,-0.015,0.006,0.048,
19.5,0.256,0.259,0.013,-0.025,0.008,0.038,
19.55,0.256,0.26,0.012,-0.017,0.01,0.029,
19.6,0.257,0.261,0.011,-0.005,0.011,0.014,
19.65,0.257,0.261,0.012,-0.001,0.01,0.015,
19.7,0.258,0.261,0.012,-0.023,0.012,0.021,
19.75,0.259,0.262,0.01,-0.051,0.014,0.005,
19.8,0.259,0.263,0.007,-0.066,0.012,-0.009,
19.85,0.259,0.263,0.002,-0.064,0.012,-0.006,
19.9,0.259,0.264,-0.0,-0.052,0.012,-0.012,
19.95,0.259,0.265,-0.003,-0.038,0.011,-0.031,
20.0,0.259,0.265,-0.004,-0.022,0.008,-0.034,
20.05,0.259,0.265,-0.004,-0.024,0.008,-0.033,
20.1,0.259,0.266,-0.005,-0.046,0.005,-0.041,
20.15,0.258,0.266,-0.01,-0.046,0.003,-0.047,
20.2,0.257,0.266,-0.011,-0.025,0.001,-0.062,
20.25,0.257,0.266,-0.011,-0.017,-0.004,-0.052,
20.3,0.256,0.266,-0.013,-0.009,-0.005,-0.025,
20.35,0.256,0.266,-0.013,0.009,-0.005,-0.024,
20.4,0.255,0.265,-0.012,0.023,-0.007,-0.023,
20.45,0.255,0.265,-0.01,0.027,-0.008,-0.019,
20.5,0.254,0.265,-0.009,0.023,-0.009,-0.014,
20.55,0.254,0.264,-0.008,0.009,-0.009,-0.009,
20.6,0.253,0.264,-0.008,0.001,-0.01,-0.011,
20.65,0.253,0.263,-0.008,0.0,-0.011,0.006,
20.7,0.253,0.262,-0.009,0.017,-0.009,0.024,
20.75,0.252,0.262,-0.007,0.05,-0.008,0.018,
20.8,0.252,0.262,-0.003,0.065,-0.007,0.012,
20.85,0.252,0.261,0.0,0.063,-0.007,0.018,
